未映射關鍵字,涉及穴組數,穴組名稱
上瞼下垂,1,上瞼下垂二針
下腹二針,1,下腹二針
不孕症,1,不孕症二針
乳汁不行,1,催乳（乳汁不行）二針
乳汁過多,1,回乳（乳汁過多）二針
乳癰,1,乳癰二針
側身二針,2,側身二針 A、側身二針 B
催乳,1,催乳（乳汁不行）二針
前身二針,2,前身二針 A、前身二針 B
前陰痛,1,前陰痛二針
口腔潰瘍,1,口腔潰瘍二針
咀嚼肌痙攣,1,咀嚼肌痙攣二針
咯血,1,咯血二針
咽炎,1,咽炎二針
回乳,1,回乳（乳汁過多）二針
多發性癤腫,1,多發性癤腫二針
妊娠嘔吐,1,妊娠嘔吐二針
尿瀦留,1,尿瀦留（癃閉）二針
帶狀皰疹,1,帶狀皰疹二針
後身二針,1,後身二針
急性腰扭傷,1,急性腰扭傷二針
扁桃體炎,1,扁桃體炎二針
手指痛,1,手指痛二針
指屈肌腱狹窄性腱鞘炎,1,指屈肌腱狹窄性腱鞘炎二針
提神二針,1,提神二針
昏厥,1,昏厥二針
橈骨莖突狹窄性腱鞘炎,1,橈骨莖突狹窄性腱鞘炎二針
水腫,1,水腫二針
滑胎,1,滑胎二針
疑難雜症二針,2,疑難雜症二針 A、疑難雜症二針 B
疔瘡,1,疔瘡二針
疲倦嗜睡,1,疲倦嗜睡（發作性睡病）二針
瘤病,1,瘤病二針
癃閉,1,尿瀦留（癃閉）二針
癔症,1,癔症二針
發作性睡病,1,疲倦嗜睡（發作性睡病）二針
皮膚瘙癢症,2,皮膚瘙癢症二針 A、皮膚瘙癢症二針 B
眼痛,1,眼痛二針
神經性皮炎,1,神經性皮炎二針
耳痛,1,耳痛二針
肩關節周圍炎,1,肩關節周圍炎二針
肱骨內上髁炎,1,肱骨內上髁炎二針
肱骨外上髁炎,1,肱骨外上髁炎二針
腕管綜合徵,1,腕管綜合徵二針
腳踝痛,1,腳踝痛二針
腹二針,1,腹二針
腹瀉,1,腹瀉二針
膈肌痙攣,1,膈肌痙攣（頑固性呃逆）二針
膝痛,2,膝痛二針 A、膝痛二針 B
膽絞痛,1,膽囊炎（膽絞痛）二針
蛋白尿,1,蛋白尿二針
解毒二針,1,解毒二針
赤白帶下,1,赤白帶下二針
遺尿,1,遺尿二針
閉經,1,閉經二針
面肌痙攣,1,面肌痙攣二針
面部痤瘡,1,面部痤瘡二針
頑固性呃逆,1,膈肌痙攣（頑固性呃逆）二針
頭頂痛,1,頭頂痛二針
頸椎病,2,頸椎病二針 A、頸椎病二針 B
頸部軟組織損傷,2,頸部軟組織損傷二針 A、頸部軟組織損傷二針 B
顱內痛,1,顱內痛二針
骶尾骨痛,1,骶尾骨痛二針
高脂血症,1,高脂血症二針
鼻炎,1,鼻炎二針
鼻痛,1,鼻痛二針
