目錄排序,目錄症狀,匹配標準症狀,匹配狀態,章,節,來源行
1,前頭痛(眉稜骨痛、鼻骨痛、陽明頭痛),前頭痛（眉稜骨痛、鼻骨痛、陽明頭痛）,matched,痛症,第三節頭項上肢部位痛,1237
2,偏頭痛,偏頭痛,matched,痛症,第三節頭項上肢部位痛,1289
3,後頭痛,後頭痛,matched,痛症,第三節頭項上肢部位痛,1362
4,全頭痛,全頭痛,matched,痛症,第三節頭項上肢部位痛,1390
5,顴骨疼痛,顴骨疼痛,matched,痛症,第三節頭項上肢部位痛,1451
6,三叉神經痛,三叉神經痛,matched,痛症,第三節頭項上肢部位痛,1486
7,耳朵痛,耳朵痛,matched,痛症,第三節頭項上肢部位痛,1530
8,項強痛,項強痛,matched,痛症,第三節頭項上肢部位痛,1554
9,落枕,落枕,matched,痛症,第三節頭項上肢部位痛,1618
10,肩頸痛,肩頸痛,matched,痛症,第三節頭項上肢部位痛,1660
11,肩臂不能舉(肩關節周圍炎、五十肩),肩周炎、五十肩,matched,痛症,第三節頭項上肢部位痛,1685
12,肩關節扭傷,肩關節扭傷,matched,痛症,第三節頭項上肢部位痛,1723
13,肩痛,肩痛,matched,痛症,第三節頭項上肢部位痛,1736
14,上臂痛(肩臂痛),上臂痛（肩臂痛）,matched,痛症,第三節頭項上肢部位痛,1775
15,肘關節痛,肘關節痛,matched,痛症,第三節頭項上肢部位痛,1828
16,腕關節痛,腕關節痛,matched,痛症,第三節頭項上肢部位痛,1947
17,橈骨莖突腱鞘炎,橈骨莖突腱鞘炎（媽媽手）,matched,痛症,第三節頭項上肢部位痛,1989
18,指關節痛,指關節痛,matched,痛症,第三節頭項上肢部位痛,2018
19,食指痛,食指痛,matched,痛症,第三節頭項上肢部位痛,2032
20,扳機指,扳機指,matched,痛症,第三節頭項上肢部位痛,2056
21,坐骨神經痛,坐骨神經痛,matched,痛症,第四節下肢部位痛,2081
22,腿冷痛,腿冷痛,matched,痛症,第四節下肢部位痛,2180
23,膝蓋痛,膝蓋痛,matched,痛症,第四節下肢部位痛,2221
24,小腿脹痛(痠痛),小腿痛,matched,痛症,第四節下肢部位痛,2304
25,七、腳痛,腳痛,matched,痛症,第四節下肢部位痛,2331
26,腳踝扭傷,腳踝扭傷,matched,痛症,第四節下肢部位痛,2358
27,腳趾痛,腳趾痛,matched,痛症,第四節下肢部位痛,2396
28,足跟痛,足跟痛,matched,痛症,第四節下肢部位痛,2406
29,四肢痛,四肢痛,matched,痛症,第四節下肢部位痛,
30,胸乳痛,胸痛,matched,痛症,第五節胸腹部位痛,
31,心口痛,心痛,matched,痛症,第五節胸腹部位痛,
32,心兩側痛,心痛,matched,痛症,第五節胸腹部位痛,
33,胸腹側痛,胸痛,matched,痛症,第五節胸腹部位痛,
34,胸部打傷,胸痛,matched,痛症,第五節胸腹部位痛,
35,胸腹部任脈線痛,胸痛,matched,痛症,第五節胸腹部位痛,2628
36,胸連背痛,胸痛,matched,痛症,第五節胸腹部位痛,2644
37,脅肋痛,脅痛,matched,痛症,第五節胸腹部位痛,2659
38,胃痛,胃痛,matched,痛症,第五節胸腹部位痛,2705
39,腹痛,腹痛,matched,痛症,第五節胸腹部位痛,2758
40,肚臍周圍痛,臍周痛,matched,痛症,第五節胸腹部位痛,2811
41,腹中絞痛(絞腸痧),腹中絞痛,matched,痛症,第五節胸腹部位痛,
42,小腹痛,小腹痛,matched,痛症,第五節胸腹部位痛,2851
43,下腹脹痛,下腹脹痛,matched,痛症,第五節胸腹部位痛,2883
44,背痛,背痛,matched,痛症,第六節腰背部位痛,
45,肩背痛,肩背痛,matched,痛症,第六節腰背部位痛,
46,背連下腿痛,下背痛,matched,痛症,第六節腰背部位痛,2985
47,脊椎中央痛,脊椎中央痛,matched,痛症,第六節腰背部位痛,2998
48,脊椎壓痛,脊椎壓痛,matched,痛症,第六節腰背部位痛,3030
49,脊椎扭挫傷(脊椎骨閃痛),脊椎扭挫傷,matched,痛症,第六節腰背部位痛,
50,腰痛(慢性腰痛),慢性腰痛,matched,痛症,第六節腰背部位痛,3098
51,腎虛腰痛,腎虛腰痛,matched,痛症,第六節腰背部位痛,3168
52,閃腰盆氣,閃腰盆氣,matched,痛症,第六節腰背部位痛,3216
53,尾椎痛,尾椎痛,matched,痛症,第六節腰背部位痛,3272
54,感冒,感冒,matched,內科,第一節肺系疾病,3320
55,高熱,發燒,matched,內科,第一節肺系疾病,3416
56,咳嗽(支氣管炎),咳嗽（支氣管炎）,matched,內科,第一節肺系疾病,3457
57,氣喘,氣喘,matched,內科,第一節肺系疾病,3526
58,肺炎,肺炎,matched,內科,第一節肺系疾病,3599
59,心臟病(冠心病),心臟病（冠心病）,matched,內科,第二節心系疾病(附血液病),
60,心臟麻痺,心臟麻痺,matched,內科,第二節心系疾病(附血液病),3688
61,真心痛,真心痛,matched,內科,第二節心系疾病(附血液病),3737
62,胸悶,胸悶,matched,內科,第二節心系疾病(附血液病),
63,心悸,心悸,matched,內科,第二節心系疾病(附血液病),3807
64,心律失常,心律不整,matched,內科,第二節心系疾病(附血液病),3860
65,病毒性心肌炎,病毒性心肌炎,matched,內科,第二節心系疾病(附血液病),3891
66,心臟血管硬化,心臟血管硬化,matched,內科,第二節心系疾病(附血液病),3934
67,白細胞過少,白血球過少,matched,內科,第二節心系疾病(附血液病),3973
68,白細胞過多,白血球過多,matched,內科,第二節心系疾病(附血液病),
69,貧血,貧血,matched,內科,第二節心系疾病(附血液病),4028
70,其他血液病,其他血液病,matched,內科,第二節心系疾病(附血液病),4059
71,胃病,胃病,matched,內科,第三節脾胃病,
72,胃炎,胃炎,matched,內科,第三節脾胃病,4124
73,胃酸過多,胃酸過多,matched,內科,第三節脾胃病,
74,消化性潰瘍(胃、十二指腸潰瘍),消化性潰瘍（胃潰瘍、十二指腸潰瘍）,matched,內科,第三節脾胃病,4226
75,嘔吐,嘔吐,matched,內科,第三節脾胃病,4251
76,食慾不振,食慾不振,matched,內科,第三節脾胃病,4318
77,急性腸胃炎,急性腸胃炎,matched,內科,第三節脾胃病,4332
78,黃疸,黃疸,matched,內科,第四節肝膽病,4382
79,肝炎,肝炎,matched,內科,第四節肝膽病,
80,肝硬化,肝硬化,matched,內科,第四節肝膽病,4475
81,膽囊炎,膽囊炎,matched,內科,第四節肝膽病,4506
82,膽石症,膽結石,matched,內科,第四節肝膽病,4545
83,脾腫大,脾腫大,matched,內科,第四節肝膽病,4588
84,腎炎,腎炎,matched,內科,第五節腎、膀胱病,4627
85,四肢浮腫,四肢浮腫,matched,內科,第五節腎、膀胱病,
86,腎結石,腎結石,matched,內科,第五節腎、膀胱病,4740
87,膀胱結石,膀胱結石,matched,內科,第五節腎、膀胱病,4774
88,尿道結石,尿道結石,matched,內科,第五節腎、膀胱病,4807
89,小便癃閉(尿滯留),小便癃閉、尿滯留,matched,內科,第五節腎、膀胱病,4837
90,小便不利(膀胱炎、尿道炎),小便不利、膀胱炎、尿道炎,matched,內科,第五節腎、膀胱病,4878
91,尿意頻數,尿意頻數,matched,內科,第五節腎、膀胱病,
92,淋病,淋病,matched,內科,第五節腎、膀胱病,
93,小便出血,小便出血,matched,內科,第五節腎、膀胱病,4999
