關鍵字,標準症狀,類型,來源,備註
前頭痛,前頭痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
前頭痛（眉稜骨痛、鼻骨痛、陽明頭痛）,前頭痛,相關關鍵字,董氏奇穴治療析要,匹配標準症狀原字串
眉稜骨痛,前頭痛,別名,董氏奇穴治療析要,括號內輔助詞
鼻骨痛,前頭痛,別名,董氏奇穴治療析要,括號內輔助詞
陽明頭痛,前頭痛,別名,董氏奇穴治療析要,括號內輔助詞
前頭痛(眉稜骨痛、鼻骨痛、陽明頭痛),前頭痛,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
偏頭痛,偏頭痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
頭痛,頭痛,原始症狀,人工校訂,目錄標準詞 identity mapping
偏正頭痛,頭痛,原始症狀,人工校訂,對針主治用詞標準化
後頭痛,後頭痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
全頭痛,全頭痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
顴骨疼痛,顴骨疼痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
三叉神經痛,三叉神經痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
耳朵痛,耳朵痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
項強痛,項強痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
落枕,落枕,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
肩頸痛,肩頸痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
肩周炎,肩周炎,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
五十肩,五十肩,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
肩臂不能舉(肩關節周圍炎、五十肩),肩周炎,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
肩臂不能舉(肩關節周圍炎、五十肩),五十肩,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
肩周炎、五十肩,肩周炎,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
肩周炎、五十肩,五十肩,複合詞,董氏奇穴治療析要,頂層頓號拆分前原字串
肩關節扭傷,肩關節扭傷,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
肩痛,肩痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
上臂痛,上臂痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
上臂痛（肩臂痛）,上臂痛,相關關鍵字,董氏奇穴治療析要,匹配標準症狀原字串
肩臂痛,上臂痛,別名,董氏奇穴治療析要,括號內輔助詞
上臂痛(肩臂痛),上臂痛,原始標題,董氏奇穴治療析要,治療析要目錄症狀原始標題
肘關節痛,肘關節痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
腕關節痛,腕關節痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
橈骨莖突腱鞘炎,橈骨莖突腱鞘炎,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
橈骨莖突腱鞘炎（媽媽手）,橈骨莖突腱鞘炎,相關關鍵字,董氏奇穴治療析要,匹配標準症狀原字串
媽媽手,橈骨莖突腱鞘炎,別名,董氏奇穴治療析要,括號內輔助詞
指關節痛,指關節痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
食指痛,食指痛,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
扳機指,扳機指,原始症狀,董氏奇穴治療析要,目錄標準詞 identity mapping
