標準症狀,分類,排序,詞表層級,目錄排序,目錄症狀,目錄節,來源行,來源,條目數,空推薦穴位數,備註
前頭痛,痛症,1,目錄標準詞,1,前頭痛(眉稜骨痛、鼻骨痛、陽明頭痛),第三節頭項上肢部位痛,1237,董氏奇穴治療析要,0,0,
偏頭痛,痛症,2,目錄標準詞,2,偏頭痛,第三節頭項上肢部位痛,1289,董氏奇穴治療析要,4,1,
後頭痛,痛症,3,目錄標準詞,3,後頭痛,第三節頭項上肢部位痛,1362,董氏奇穴治療析要,2,1,
全頭痛,痛症,4,目錄標準詞,4,全頭痛,第三節頭項上肢部位痛,1390,董氏奇穴治療析要,1,1,
顴骨疼痛,痛症,5,目錄標準詞,5,顴骨疼痛,第三節頭項上肢部位痛,1451,董氏奇穴治療析要,0,0,
三叉神經痛,痛症,6,目錄標準詞,6,三叉神經痛,第三節頭項上肢部位痛,1486,董氏奇穴治療析要,3,1,
耳朵痛,痛症,7,目錄標準詞,7,耳朵痛,第三節頭項上肢部位痛,1530,董氏奇穴治療析要,2,1,
項強痛,痛症,8,目錄標準詞,8,項強痛,第三節頭項上肢部位痛,1554,董氏奇穴治療析要,1,0,
落枕,痛症,9,目錄標準詞,9,落枕,第三節頭項上肢部位痛,1618,董氏奇穴治療析要,2,1,
肩頸痛,痛症,10,目錄標準詞,10,肩頸痛,第三節頭項上肢部位痛,1660,董氏奇穴治療析要,1,1,
肩周炎,痛症,11,目錄標準詞,11,肩臂不能舉(肩關節周圍炎、五十肩),第三節頭項上肢部位痛,1685,董氏奇穴治療析要,0,0,
五十肩,痛症,12,目錄標準詞,11,肩臂不能舉(肩關節周圍炎、五十肩),第三節頭項上肢部位痛,1685,董氏奇穴治療析要,3,0,
肩關節扭傷,痛症,13,目錄標準詞,12,肩關節扭傷,第三節頭項上肢部位痛,1723,董氏奇穴治療析要,2,1,
肩痛,痛症,14,目錄標準詞,13,肩痛,第三節頭項上肢部位痛,1736,董氏奇穴治療析要,2,1,
上臂痛,痛症,15,目錄標準詞,14,上臂痛(肩臂痛),第三節頭項上肢部位痛,1775,董氏奇穴治療析要,0,0,
肘關節痛,痛症,16,目錄標準詞,15,肘關節痛,第三節頭項上肢部位痛,1828,董氏奇穴治療析要,1,1,
腕關節痛,痛症,17,目錄標準詞,16,腕關節痛,第三節頭項上肢部位痛,1947,董氏奇穴治療析要,0,0,
橈骨莖突腱鞘炎,痛症,18,目錄標準詞,17,橈骨莖突腱鞘炎,第三節頭項上肢部位痛,1989,董氏奇穴治療析要,2,1,
指關節痛,痛症,19,目錄標準詞,18,指關節痛,第三節頭項上肢部位痛,2018,董氏奇穴治療析要,1,0,
食指痛,痛症,20,目錄標準詞,19,食指痛,第三節頭項上肢部位痛,2032,董氏奇穴治療析要,2,1,
扳機指,痛症,21,目錄標準詞,20,扳機指,第三節頭項上肢部位痛,2056,董氏奇穴治療析要,3,1,
坐骨神經痛,痛症,22,目錄標準詞,21,坐骨神經痛,第四節下肢部位痛,2081,董氏奇穴治療析要,7,0,
腿冷痛,痛症,23,目錄標準詞,22,腿冷痛,第四節下肢部位痛,2180,董氏奇穴治療析要,1,0,
膝蓋痛,痛症,24,目錄標準詞,23,膝蓋痛,第四節下肢部位痛,2221,董氏奇穴治療析要,7,0,
小腿痛,痛症,25,目錄標準詞,24,小腿脹痛(痠痛),第四節下肢部位痛,2304,董氏奇穴治療析要,0,0,
腳痛,痛症,26,目錄標準詞,25,七、腳痛,第四節下肢部位痛,2331,董氏奇穴治療析要,2,1,
腳踝扭傷,痛症,27,目錄標準詞,26,腳踝扭傷,第四節下肢部位痛,2358,董氏奇穴治療析要,2,1,
腳趾痛,痛症,28,目錄標準詞,27,腳趾痛,第四節下肢部位痛,2396,董氏奇穴治療析要,2,1,
足跟痛,痛症,29,目錄標準詞,28,足跟痛,第四節下肢部位痛,2406,董氏奇穴治療析要,2,0,
四肢痛,痛症,30,目錄標準詞,29,四肢痛,第四節下肢部位痛,,董氏奇穴治療析要,2,0,
胸痛,痛症,31,目錄標準詞,30,胸乳痛；胸腹側痛；胸部打傷；胸腹部任脈線痛；胸連背痛,第五節胸腹部位痛,,董氏奇穴治療析要,0,0,
心痛,痛症,32,目錄標準詞,31,心口痛；心兩側痛,第五節胸腹部位痛,,董氏奇穴治療析要,0,0,
脅痛,痛症,33,目錄標準詞,37,脅肋痛,第五節胸腹部位痛,2659,董氏奇穴治療析要,0,0,
胃痛,痛症,34,目錄標準詞,38,胃痛,第五節胸腹部位痛,2705,董氏奇穴治療析要,3,0,
腹痛,痛症,35,目錄標準詞,39,腹痛,第五節胸腹部位痛,2758,董氏奇穴治療析要,2,1,
臍周痛,痛症,36,目錄標準詞,40,肚臍周圍痛,第五節胸腹部位痛,2811,董氏奇穴治療析要,0,0,
腹中絞痛,痛症,37,目錄標準詞,41,腹中絞痛(絞腸痧),第五節胸腹部位痛,,董氏奇穴治療析要,0,0,
小腹痛,痛症,38,目錄標準詞,42,小腹痛,第五節胸腹部位痛,2851,董氏奇穴治療析要,2,0,
下腹脹痛,痛症,39,目錄標準詞,43,下腹脹痛,第五節胸腹部位痛,2883,董氏奇穴治療析要,1,0,
背痛,痛症,40,目錄標準詞,44,背痛,第六節腰背部位痛,,董氏奇穴治療析要,5,1,
肩背痛,痛症,41,目錄標準詞,45,肩背痛,第六節腰背部位痛,,董氏奇穴治療析要,2,1,
下背痛,痛症,42,目錄標準詞,46,背連下腿痛,第六節腰背部位痛,2985,董氏奇穴治療析要,0,0,
脊椎中央痛,痛症,43,目錄標準詞,47,脊椎中央痛,第六節腰背部位痛,2998,董氏奇穴治療析要,1,1,
脊椎壓痛,痛症,44,目錄標準詞,48,脊椎壓痛,第六節腰背部位痛,3030,董氏奇穴治療析要,1,1,
脊椎扭挫傷,痛症,45,目錄標準詞,49,脊椎扭挫傷(脊椎骨閃痛),第六節腰背部位痛,,董氏奇穴治療析要,0,0,
慢性腰痛,痛症,46,目錄標準詞,50,腰痛(慢性腰痛),第六節腰背部位痛,3098,董氏奇穴治療析要,1,1,
腎虛腰痛,痛症,47,目錄標準詞,51,腎虛腰痛,第六節腰背部位痛,3168,董氏奇穴治療析要,1,1,
閃腰盆氣,痛症,48,目錄標準詞,52,閃腰盆氣,第六節腰背部位痛,3216,董氏奇穴治療析要,0,0,
尾椎痛,痛症,49,目錄標準詞,53,尾椎痛,第六節腰背部位痛,3272,董氏奇穴治療析要,2,1,
感冒,內科,50,目錄標準詞,54,感冒,第一節肺系疾病,3320,董氏奇穴治療析要,6,1,
發燒,內科,51,目錄標準詞,55,高熱,第一節肺系疾病,3416,董氏奇穴治療析要,0,0,
咳嗽,內科,52,目錄標準詞,56,咳嗽(支氣管炎),第一節肺系疾病,3457,董氏奇穴治療析要,2,0,
氣喘,內科,53,目錄標準詞,57,氣喘,第一節肺系疾病,3526,董氏奇穴治療析要,7,1,
肺炎,內科,54,目錄標準詞,58,肺炎,第一節肺系疾病,3599,董氏奇穴治療析要,3,1,
心臟病,內科,55,目錄標準詞,59,心臟病(冠心病),第二節心系疾病(附血液病),,董氏奇穴治療析要,5,0,
心臟麻痺,內科,56,目錄標準詞,60,心臟麻痺,第二節心系疾病(附血液病),3688,董氏奇穴治療析要,1,0,
真心痛,內科,57,目錄標準詞,61,真心痛,第二節心系疾病(附血液病),3737,董氏奇穴治療析要,0,0,
胸悶,內科,58,目錄標準詞,62,胸悶,第二節心系疾病(附血液病),,董氏奇穴治療析要,1,0,
心悸,內科,59,目錄標準詞,63,心悸,第二節心系疾病(附血液病),3807,董氏奇穴治療析要,1,0,
心律不整,內科,60,目錄標準詞,64,心律失常,第二節心系疾病(附血液病),3860,董氏奇穴治療析要,0,0,
病毒性心肌炎,內科,61,目錄標準詞,65,病毒性心肌炎,第二節心系疾病(附血液病),3891,董氏奇穴治療析要,1,1,
心臟血管硬化,內科,62,目錄標準詞,66,心臟血管硬化,第二節心系疾病(附血液病),3934,董氏奇穴治療析要,1,0,
白血球過少,內科,63,目錄標準詞,67,白細胞過少,第二節心系疾病(附血液病),3973,董氏奇穴治療析要,0,0,
白血球過多,內科,64,目錄標準詞,68,白細胞過多,第二節心系疾病(附血液病),,董氏奇穴治療析要,0,0,
貧血,內科,65,目錄標準詞,69,貧血,第二節心系疾病(附血液病),4028,董氏奇穴治療析要,2,1,
其他血液病,內科,66,目錄標準詞,70,其他血液病,第二節心系疾病(附血液病),4059,董氏奇穴治療析要,1,1,
胃病,內科,67,目錄標準詞,71,胃病,第三節脾胃病,,董氏奇穴治療析要,0,0,
胃炎,內科,68,目錄標準詞,72,胃炎,第三節脾胃病,4124,董氏奇穴治療析要,1,0,
胃酸過多,內科,69,目錄標準詞,73,胃酸過多,第三節脾胃病,,董氏奇穴治療析要,1,0,
消化性潰瘍,內科,70,目錄標準詞,74,消化性潰瘍(胃、十二指腸潰瘍),第三節脾胃病,4226,董氏奇穴治療析要,0,0,
嘔吐,內科,71,目錄標準詞,75,嘔吐,第三節脾胃病,4251,董氏奇穴治療析要,3,1,
食慾不振,內科,72,目錄標準詞,76,食慾不振,第三節脾胃病,4318,董氏奇穴治療析要,2,1,
急性腸胃炎,內科,73,目錄標準詞,77,急性腸胃炎,第三節脾胃病,4332,董氏奇穴治療析要,2,1,
黃疸,內科,74,目錄標準詞,78,黃疸,第四節肝膽病,4382,董氏奇穴治療析要,1,1,
肝炎,內科,75,目錄標準詞,79,肝炎,第四節肝膽病,,董氏奇穴治療析要,1,1,
肝硬化,內科,76,目錄標準詞,80,肝硬化,第四節肝膽病,4475,董氏奇穴治療析要,2,1,
膽囊炎,內科,77,目錄標準詞,81,膽囊炎,第四節肝膽病,4506,董氏奇穴治療析要,4,1,
膽結石,內科,78,目錄標準詞,82,膽石症,第四節肝膽病,4545,董氏奇穴治療析要,1,0,
脾腫大,內科,79,目錄標準詞,83,脾腫大,第四節肝膽病,4588,董氏奇穴治療析要,3,1,
腎炎,內科,80,目錄標準詞,84,腎炎,第五節腎、膀胱病,4627,董氏奇穴治療析要,1,1,
四肢浮腫,內科,81,目錄標準詞,85,四肢浮腫,第五節腎、膀胱病,,董氏奇穴治療析要,1,0,
腎結石,內科,82,目錄標準詞,86,腎結石,第五節腎、膀胱病,4740,董氏奇穴治療析要,2,1,
膀胱結石,內科,83,目錄標準詞,87,膀胱結石,第五節腎、膀胱病,4774,董氏奇穴治療析要,2,1,
尿道結石,內科,84,目錄標準詞,88,尿道結石,第五節腎、膀胱病,4807,董氏奇穴治療析要,2,1,
小便癃閉,內科,85,目錄標準詞,89,小便癃閉(尿滯留),第五節腎、膀胱病,4837,董氏奇穴治療析要,0,0,
尿滯留,內科,86,目錄標準詞,89,小便癃閉(尿滯留),第五節腎、膀胱病,4837,董氏奇穴治療析要,0,0,
小便不利,內科,87,目錄標準詞,90,小便不利(膀胱炎、尿道炎),第五節腎、膀胱病,4878,董氏奇穴治療析要,0,0,
膀胱炎,內科,88,目錄標準詞,90,小便不利(膀胱炎、尿道炎),第五節腎、膀胱病,4878,董氏奇穴治療析要,0,0,
尿道炎,內科,89,目錄標準詞,90,小便不利(膀胱炎、尿道炎),第五節腎、膀胱病,4878,董氏奇穴治療析要,1,0,
尿意頻數,內科,90,目錄標準詞,91,尿意頻數,第五節腎、膀胱病,,董氏奇穴治療析要,2,1,
淋病,內科,91,目錄標準詞,92,淋病,第五節腎、膀胱病,,董氏奇穴治療析要,2,1,
小便出血,內科,92,目錄標準詞,93,小便出血,第五節腎、膀胱病,4999,董氏奇穴治療析要,0,0,
急性腹瀉,內科,93,目錄標準詞,94,急性腹瀉,第六節大小腸病,5030,董氏奇穴治療析要,2,1,
慢性腹瀉,內科,94,目錄標準詞,95,慢性腹瀉,第六節大小腸病,,董氏奇穴治療析要,2,1,
小腹脹,內科,95,目錄標準詞,96,小腹脹,第六節大小腸病,5128,董氏奇穴治療析要,1,0,
便秘,內科,96,目錄標準詞,97,便秘,第六節大小腸病,5175,董氏奇穴治療析要,2,1,
闌尾炎,內科,97,目錄標準詞,98,闌尾炎,第六節大小腸病,5207,董氏奇穴治療析要,2,1,
疝氣,內科,98,目錄標準詞,99,小腸疝氣,第六節大小腸病,5242,董氏奇穴治療析要,2,0,
睪丸炎,內科,99,目錄標準詞,100,睪丸炎,第七節前後陰病,,董氏奇穴治療析要,2,1,
遺精,內科,100,目錄標準詞,101,遺精,第七節前後陰病,5306,董氏奇穴治療析要,1,0,
陽痿,內科,101,目錄標準詞,102,陽痿、早洩(男子性功能障礙),第七節前後陰病,5335,董氏奇穴治療析要,1,0,
早洩,內科,102,目錄標準詞,102,陽痿、早洩(男子性功能障礙),第七節前後陰病,5335,董氏奇穴治療析要,1,0,
失眠,內科,103,目錄標準詞,103,失眠症,第八節神志病,,董氏奇穴治療析要,5,0,
癲癇,內科,104,目錄標準詞,104,癲癇,第八節神志病,,董氏奇穴治療析要,2,1,
精神病,內科,105,目錄標準詞,105,精神病,第八節神志病,,董氏奇穴治療析要,2,1,
高血壓,內科,106,目錄標準詞,106,高血壓,第九節雜症,5505,董氏奇穴治療析要,2,1,
中風,內科,107,目錄標準詞,107,中風昏迷症,第九節雜症,5566,董氏奇穴治療析要,0,0,
