標準症狀,分類,排序,詞表層級,目錄排序,目錄症狀,目錄節,來源行,來源,條目數,空推薦穴位數,備註
前頭痛,痛症,1,目錄標準詞,1,前頭痛(眉稜骨痛、鼻骨痛、陽明頭痛),第三節頭項上肢部位痛,1237,董氏奇穴治療析要,0,0,
顴骨疼痛,痛症,5,目錄標準詞,5,顴骨疼痛,第三節頭項上肢部位痛,1451,董氏奇穴治療析要,0,0,
肩周炎,痛症,11,目錄標準詞,11,肩臂不能舉(肩關節周圍炎、五十肩),第三節頭項上肢部位痛,1685,董氏奇穴治療析要,0,0,
上臂痛,痛症,15,目錄標準詞,14,上臂痛(肩臂痛),第三節頭項上肢部位痛,1775,董氏奇穴治療析要,0,0,
腕關節痛,痛症,17,目錄標準詞,16,腕關節痛,第三節頭項上肢部位痛,1947,董氏奇穴治療析要,0,0,
小腿痛,痛症,25,目錄標準詞,24,小腿脹痛(痠痛),第四節下肢部位痛,2304,董氏奇穴治療析要,0,0,
胸痛,痛症,31,目錄標準詞,30,胸乳痛；胸腹側痛；胸部打傷；胸腹部任脈線痛；胸連背痛,第五節胸腹部位痛,,董氏奇穴治療析要,0,0,
心痛,痛症,32,目錄標準詞,31,心口痛；心兩側痛,第五節胸腹部位痛,,董氏奇穴治療析要,0,0,
脅痛,痛症,33,目錄標準詞,37,脅肋痛,第五節胸腹部位痛,2659,董氏奇穴治療析要,0,0,
臍周痛,痛症,36,目錄標準詞,40,肚臍周圍痛,第五節胸腹部位痛,2811,董氏奇穴治療析要,0,0,
腹中絞痛,痛症,37,目錄標準詞,41,腹中絞痛(絞腸痧),第五節胸腹部位痛,,董氏奇穴治療析要,0,0,
下背痛,痛症,42,目錄標準詞,46,背連下腿痛,第六節腰背部位痛,2985,董氏奇穴治療析要,0,0,
脊椎扭挫傷,痛症,45,目錄標準詞,49,脊椎扭挫傷(脊椎骨閃痛),第六節腰背部位痛,,董氏奇穴治療析要,0,0,
閃腰盆氣,痛症,48,目錄標準詞,52,閃腰盆氣,第六節腰背部位痛,3216,董氏奇穴治療析要,0,0,
發燒,內科,51,目錄標準詞,55,高熱,第一節肺系疾病,3416,董氏奇穴治療析要,0,0,
真心痛,內科,57,目錄標準詞,61,真心痛,第二節心系疾病(附血液病),3737,董氏奇穴治療析要,0,0,
心律不整,內科,60,目錄標準詞,64,心律失常,第二節心系疾病(附血液病),3860,董氏奇穴治療析要,0,0,
白血球過少,內科,63,目錄標準詞,67,白細胞過少,第二節心系疾病(附血液病),3973,董氏奇穴治療析要,0,0,
白血球過多,內科,64,目錄標準詞,68,白細胞過多,第二節心系疾病(附血液病),,董氏奇穴治療析要,0,0,
胃病,內科,67,目錄標準詞,71,胃病,第三節脾胃病,,董氏奇穴治療析要,0,0,
消化性潰瘍,內科,70,目錄標準詞,74,消化性潰瘍(胃、十二指腸潰瘍),第三節脾胃病,4226,董氏奇穴治療析要,0,0,
小便癃閉,內科,85,目錄標準詞,89,小便癃閉(尿滯留),第五節腎、膀胱病,4837,董氏奇穴治療析要,0,0,
尿滯留,內科,86,目錄標準詞,89,小便癃閉(尿滯留),第五節腎、膀胱病,4837,董氏奇穴治療析要,0,0,
小便不利,內科,87,目錄標準詞,90,小便不利(膀胱炎、尿道炎),第五節腎、膀胱病,4878,董氏奇穴治療析要,0,0,
膀胱炎,內科,88,目錄標準詞,90,小便不利(膀胱炎、尿道炎),第五節腎、膀胱病,4878,董氏奇穴治療析要,0,0,
小便出血,內科,92,目錄標準詞,93,小便出血,第五節腎、膀胱病,4999,董氏奇穴治療析要,0,0,
中風,內科,107,目錄標準詞,107,中風昏迷症,第九節雜症,5566,董氏奇穴治療析要,0,0,
中風後遺症,內科,108,目錄標準詞,108,半身不遂(中風後遺症),第九節雜症,5589,董氏奇穴治療析要,0,0,
中風失語症,內科,109,目錄標準詞,109,中風舌強不語(失語症),第九節雜症,5661,董氏奇穴治療析要,0,0,
中風痙攣,內科,110,目錄標準詞,110,中風手拘攣(痙攣),第九節雜症,,董氏奇穴治療析要,0,0,
帕金森症,內科,111,目錄標準詞,111,四肢發抖(帕金森症),第九節雜症,,董氏奇穴治療析要,0,0,
面神經麻痺,頭面頸,118,目錄標準詞,118,口歪眼斜,第二節顏面疾病,5987,董氏奇穴治療析要,0,0,
面癱,頭面頸,119,目錄標準詞,118,口歪眼斜,第二節顏面疾病,5987,董氏奇穴治療析要,0,0,
顏面神經抽搐,頭面頸,121,目錄標準詞,120,顏面神經抽掣(痙攣及震顫),第二節顏面疾病,6088,董氏奇穴治療析要,0,0,
痄腮,頭面頸,126,目錄標準詞,125,痄腮(腮腺炎),第三節頸項疾病,,董氏奇穴治療析要,0,0,
乾眼,五官科,131,目錄標準詞,129,目乾澀(乾眼症),第一節眼病,6369,董氏奇穴治療析要,0,0,
溢淚,五官科,132,目錄標準詞,130,溢淚(迎風流淚),第一節眼病,6390,董氏奇穴治療析要,0,0,
眼瞼下垂,五官科,133,目錄標準詞,131,兩眼睜不開(上瞼下垂),第一節眼病,6423,董氏奇穴治療析要,0,0,
眼球歪斜,五官科,135,目錄標準詞,133,眼球歪斜及複視,第一節眼病,,董氏奇穴治療析要,0,0,
複視,五官科,136,目錄標準詞,133,眼球歪斜及複視,第一節眼病,,董氏奇穴治療析要,0,0,
頭痛,痛症,140,目錄標準詞,999,頭痛,,,人工校訂,0,0,
鼻乾及流涕,五官科,140,目錄標準詞,137,鼻乾及流涕,第二節鼻病,6594,董氏奇穴治療析要,0,0,
鼻淵,五官科,143,目錄標準詞,140,鼻蓄膿症(鼻淵、鼻涕倒流),第二節鼻病,6699,董氏奇穴治療析要,0,0,
鼻涕倒流,五官科,144,目錄標準詞,140,鼻蓄膿症(鼻淵、鼻涕倒流),第二節鼻病,6699,董氏奇穴治療析要,0,0,
流鼻血,五官科,146,目錄標準詞,142,流鼻血(鼻衄),第二節鼻病,6730,董氏奇穴治療析要,0,0,
鼻衄,五官科,147,目錄標準詞,142,流鼻血(鼻衄),第二節鼻病,6730,董氏奇穴治療析要,0,0,
中耳炎,五官科,148,目錄標準詞,143,中耳炎,第三節耳病,6769,董氏奇穴治療析要,0,0,
耳脹,五官科,149,目錄標準詞,144,耳內脹,第三節耳病,6788,董氏奇穴治療析要,0,0,
顳頜關節紊亂,五官科,152,目錄標準詞,147,下頜骨痛(口不能張、顳頜關節紊亂症),第四節口齒疾病,6872,董氏奇穴治療析要,0,0,
喉痛,五官科,156,目錄標準詞,151,喉痛(喉炎),第五節咽喉疾病,7031,董氏奇穴治療析要,0,0,
喉炎,五官科,157,目錄標準詞,151,喉痛(喉炎),第五節咽喉疾病,7031,董氏奇穴治療析要,0,0,
經痛,婦兒科,161,目錄標準詞,155,痛經,第一節婦科病,7176,董氏奇穴治療析要,0,0,
陰道炎,婦兒科,167,目錄標準詞,160,子宮炎(陰道炎),第一節婦科病,,董氏奇穴治療析要,0,0,
兒科,婦兒科,172,目錄標準詞,165,兒科,第二節兒科,,董氏奇穴治療析要,0,0,
風疹,皮膚外科,178,目錄標準詞,170,風疹塊(蕁麻疹),皮膚外科,7756,董氏奇穴治療析要,0,0,
其他皮膚病,皮膚外科,181,目錄標準詞,173,其他皮膚病,皮膚外科,7864,董氏奇穴治療析要,0,0,
痔瘡,皮膚外科,182,目錄標準詞,174,痔瘡,皮膚外科,7892,董氏奇穴治療析要,0,0,
手指麻,其他疾病,183,目錄標準詞,175,手指麻,第一節四肢軀幹,,董氏奇穴治療析要,0,0,
腳痠軟脹,其他疾病,187,目錄標準詞,180,腳痠軟、發脹,第一節四肢軀幹,,董氏奇穴治療析要,0,0,
腿無力,其他疾病,188,目錄標準詞,181,腿軟無力,第一節四肢軀幹,8146,董氏奇穴治療析要,0,0,
脊椎側彎,其他疾病,192,目錄標準詞,187,脊椎畸形(脊柱側彎),第二節腰背病,,董氏奇穴治療析要,0,0,
磨牙,其他疾病,199,目錄標準詞,194,睡眠中咬牙,第三節其他,8518,董氏奇穴治療析要,0,0,
