症狀,推薦穴位,來源,頁碼
一側背痛,針對側重子、重仙,區位易象特效對針,
三叉神經痛,後溪,區位易象特效對針,
三叉神經痛,後溪配大白穴,區位易象特效對針,
上瞼下垂,門金穴，三叉三穴,區位易象特效對針,
上背部和頸肩部疼痛,重子穴、重仙穴位處觀察是否有青筋，青筋處既是反應點，也是治療點。,區位易象特效對針,
下肢痿弱、偏枯、酸楚、腫痛以及小腿拘急痙攣等病證,委中,區位易象特效對針,
下腹痛,公孫、三陰交,區位易象特效對針,
不可以顧,刺手太陽後溪穴,區位易象特效對針,
不可俯仰,刺足太陽經束骨穴,區位易象特效對針,
不孕症,婦科穴,區位易象特效對針,
不孕症,婦科穴配還巢穴（孕二針），關元穴配中極穴，任脈穴：常用穴為中極、關元。關係足三陰經之穴：中極、關元、三陰交等。多取小腹部穴：中極、關元穴,區位易象特效對針,
兩邊背部皆痛,一手針重子，一手針重仙,區位易象特效對針,
中焦脾胃病證,四花中穴,區位易象特效對針,
中耳炎,制汙穴、聽宮,區位易象特效對針,
丹毒、癰疽,委中,區位易象特效對針,
習慣性滑胎,還巢穴、通腎穴,區位易象特效對針,
乳房部病變,少澤,區位易象特效對針,
乳癰,建議穴位或對針：內關、曲池,區位易象特效對針,
人身側面疼痛,足臨泣,區位易象特效對針,
傷暑、霍亂、吐瀉,委中,區位易象特效對針,
供血不足造成的短暫意識喪失昏厥,內關穴,區位易象特效對針,
側身疼痛,陽陵泉與支溝,區位易象特效對針,
便秘,支溝穴配合照海、足三里、天樞等穴,區位易象特效對針,
偏頭痛,本穴,區位易象特效對針,
偏頭痛,足臨泣、陷谷。偏於耳上之偏頭痛，遠取足臨泣效果最好；偏於太陽穴之偏頭痛，針刺陷谷及門金有效。,區位易象特效對針,
偏頭痛及枕神經痛,風池穴或絲竹空，合用風池穴與絲竹空兩穴效果更快,區位易象特效對針,
偏正頭痛,三叉三穴配大白穴,區位易象特效對針,
偏正頭痛,列缺、風池,區位易象特效對針,
偏正頭痛,列缺、風池,區位易象特效對針,
側面脅肋痛,陽陵泉,區位易象特效對針,
催乳（乳汁不行）,膻中 少澤,區位易象特效對針,
前側脅肋痛,支溝,區位易象特效對針,
前頭痛,三間、陷谷,區位易象特效對針,
前頭痛,公孫、陰陵泉,區位易象特效對針,
前身大部位痛證,三間配陷谷,區位易象特效對針,
前陰痛,行間配外間穴,區位易象特效對針,
前額痛,遠取脾經（與胃經相表裡）公孫或陰陵泉為佳，其次取手陽明經的三間。公孫配陰陵泉治療頭痛最為有效，稱“前頭楊二針”。,區位易象特效對針,
半身不遂,靈骨、大白為對穴（針健側）,區位易象特效對針,
半身不遂、驚風,尺澤穴治療,區位易象特效對針,
卒中後遺症（半身不遂）,靈骨穴,區位易象特效對針,
發熱,魚際，三叉三穴,區位易象特效對針,
發熱,三叉三穴配魚際穴或大白穴,區位易象特效對針,
發言無聲等口喉病證,總樞穴,區位易象特效對針,
口乾口渴,魚際,區位易象特效對針,
口渴,任脈穴如承漿、關元等穴位。,區位易象特效對針,
口腔潰瘍,液門 大陵,區位易象特效對針,
各種頭痛,本穴,區位易象特效對針,
後頭痛,建議穴位或對針：束骨配後溪,區位易象特效對針,
聽力下降,中渚,區位易象特效對針,
呃逆,建議穴位或對針：間使、攢竹,區位易象特效對針,
呃逆,按壓翳風穴，重按以痠痛為度，每次按1分鐘左右。在按壓時囑患者先大力吸氣，然後儘量憋氣。,區位易象特效對針,
嘔吐,內關穴，用毫針快速刺入，直刺約1寸，得氣後施以提插捻轉手法，強刺激。留針30分鐘，每5~10分鐘重複上述手法1次。,區位易象特效對針,
嘔吐,內關穴、總樞穴,區位易象特效對針,
嘔吐、眩暈,內關,區位易象特效對針,
咀嚼肌痙攣,陷谷、火主穴,區位易象特效對針,
咀嚼肌痙攣,門金穴及火主穴,區位易象特效對針,
咯血,孔最 魚際,區位易象特效對針,
咳嗽,水通穴配尺澤,區位易象特效對針,
咳嗽,可以不論新病與久病，皆先針刺水通，水通配尺澤為“咳嗽二針”，也可以運用一日四時分刺法。如在早晨，可針刺肺經滎穴魚際；在中午，可針刺肺經輸穴太淵；在傍晚，可針刺肺經合穴尺澤；在深夜，可針刺肺經井穴少商。,區位易象特效對針,
咳嗽、哮喘,水通穴及水金穴,區位易象特效對針,
咳嗽與哮喘,魚際、水通,區位易象特效對針,
咽喉腫痛,中渚,區位易象特效對針,
咽炎,液門 魚際,區位易象特效對針,
哮喘,本穴附近點刺出血,區位易象特效對針,
喉嚨灼熱疼痛,魚際,區位易象特效對針,
喉痛,魚際配液門治療急慢性喉痛皆有效，或針少商、商陽點刺出血。,區位易象特效對針,
喘息氣粗、胸滿、仰息、乾嘔、胸脅肩背痛,尺澤瀉法,區位易象特效對針,
嘴唇、鼻部皮疹,耳尖,區位易象特效對針,
回乳（乳汁過多）,足臨泣、光明,區位易象特效對針,
坐骨神經痛,本穴,區位易象特效對針,
坐骨神經痛,靈骨穴,區位易象特效對針,
坐骨神經痛,靈骨、大白,區位易象特效對針,
坐骨神經痛、腰痛、項強、下肢風溼痛、痔瘡,委中刺血,區位易象特效對針,
多年頭痛兼腎虛,大白穴接近第2掌骨側面，屬全息點之頭點，即橫三焦頭點,區位易象特效對針,
失眠,間谷、風市,區位易象特效對針,
頭暈,曲池,區位易象特效對針,
頭暈,"曲池, 內關",區位易象特效對針,
頭暈,中渚,區位易象特效對針,
頭頂痛,建議穴位或對針：束骨配太沖,區位易象特效對針,
頭項強痛、背痛、腰腿痛、坐骨神經痛,後溪與束骨,區位易象特效對針,
妊娠嘔吐,建議穴位或對針：內關、通關穴,區位易象特效對針,
小便不通,陰陵泉、三里,區位易象特效對針,
少乳,膻中,區位易象特效對針,
少陽經循行於人身側面的疾病,中渚配足臨泣,區位易象特效對針,
尾椎痛,後會穴配心門穴,區位易象特效對針,
尿意頻數、風火牙痛、腎虛牙痛,尺澤穴治療,區位易象特效對針,
尿瀦留（癃閉）,建議穴位或對針：陰陵泉、足三里,區位易象特效對針,
崩漏,大敦、隱白配合溫和灸或雀啄灸。重症患者可加用艾條溫灸。,區位易象特效對針,
崩漏,艾灸隱白，大敦與隱白合用,區位易象特效對針,
帶狀皰疹,耳尖穴配製汙穴,區位易象特效對針,
乾眼症,木穴,區位易象特效對針,
後頭痛,束骨穴配後溪,區位易象特效對針,
心動過緩,內關,區位易象特效對針,
心動過速,內關,區位易象特效對針,
心律失常,內關，心常穴,區位易象特效對針,
心悸,火主,區位易象特效對針,
心血管病變、消化系統病變、精神病等,建議穴位或對針：內關,區位易象特效對針,
心跳加快,內關,區位易象特效對針,
急性乳腺炎,梁丘、太沖,區位易象特效對針,
急性扁桃體炎,少商、商陽,區位易象特效對針,
急性胃炎、急性胃腸炎,尺澤穴附近靜脈點刺出血,區位易象特效對針,
急性胃痛,"梁丘, 內關",區位易象特效對針,
急性胃腸炎,本穴附近點刺出血,區位易象特效對針,
急性腰扭傷,人中、後溪,區位易象特效對針,
急性腰扭傷,後溪穴，人中配後溪，加刺束骨,區位易象特效對針,
急性腰扭傷所致的腰痛,委中浮絡,區位易象特效對針,
急腹症,闌尾穴，深針、強捻針、久留針,區位易象特效對針,
感冒,魚際和三叉三穴組成的對針,區位易象特效對針,
感冒,木穴,區位易象特效對針,
"感冒, 發熱, 喉痛",魚際穴配三叉三穴（液門）透中渚,區位易象特效對針,
慢性腰痛,中渚配心門穴,區位易象特效對針,
慢性鼻炎,本穴,區位易象特效對針,
手心出汗,木穴,區位易象特效對針,
手指、手腕、手掌疼痛,建議穴位或對針：側三里,區位易象特效對針,
手指痛,五虎一穴,區位易象特效對針,
手掌皮膚硬化,木穴,區位易象特效對針,
抬腿困難（虛弱無力）,靈骨,區位易象特效對針,
指屈肌腱狹窄性腱鞘炎,取健側五虎一穴為主，加配健側外關。,區位易象特效對針,
指屈肌腱狹窄性腱鞘炎（扳機指）,建議穴位或對針：五虎一穴,區位易象特效對針,
無乳,膻中,區位易象特效對針,
昏厥,"人中, 內關",區位易象特效對針,
月經不調,還巢穴,區位易象特效對針,
橈骨莖突狹窄性腱鞘炎,針刺健側五虎一穴，再加患側五虎一穴作為牽引穴。,區位易象特效對針,
梅尼埃病,內關配曲池,區位易象特效對針,
梅核氣,間使、太衝,區位易象特效對針,
氣喘,魚際穴為肺經滎穴，能疏通肺經經氣，有解表宣肺、退熱止咳喘的作用。本穴屬火，魚際穴可清火熱治肺炎，亦可溫陽祛寒治肺寒，有雙向調節作用。,區位易象特效對針,
氣喘,魚際穴,區位易象特效對針,
水病之疾,水分並水道，後針三里及陰交,區位易象特效對針,
水腫,陰陵泉、水分穴,區位易象特效對針,
流注,委中,區位易象特效對針,
流淚過多,木穴、睛明,區位易象特效對針,
溼疹,患處（梅花針叩刺）、耳尖（三稜針點刺）,區位易象特效對針,
溢淚,木穴（董氏奇穴）、睛明,區位易象特效對針,
牙痛,內庭、二間,區位易象特效對針,
牙齦痛,取腎經之太溪,區位易象特效對針,
癤腫,癤腫最高點（癤腫區域性），以癤腫中心部為阿是穴。艾條溫灸法或隔姜艾灸法,區位易象特效對針,
疝氣,大敦,區位易象特效對針,
疝氣,外間、大間、小間、中間四穴同時用針，首選大間穴,區位易象特效對針,
