穴名,部位代碼,部位,身體分區,穴號,取穴定位,針法,主治關鍵字,董楊思維,備註,穴位圖,詳細筆記,頁碼
大間穴,一一,一一部位,手指穴位,圖1-8,食指第一節正中央偏向大指外開三分。；平臥或正坐、手心向上、取食指第 一節中央偏向大指三分是穴。；本穴位於食指陰掌第一節 B線，在食指第一節之正中央，與中間穴平 圖1-8 大間穴、小間穴 行。針人一分至三分。,針一分至二分治心臟病變，針二 至三分治小腸病、疝氣及膝痛。左病取右、 右病取左。,"心臟病,膝蓋痛,小腸氣,疝氣,眼角痛,睪丸墜痛,睪丸炎,腮腺炎,前列腺炎,手指麻木",睪丸墜痛、睪丸炎、腮腺炎、對側手指麻木、前列腺炎。（按：此乃 維傑自己研究之補充發揮）,禁忌雙手取穴。,images/圖1-8_大間穴.jpg,notes/大間穴.md,32
小間穴,一一,一一部位,手指穴位,圖1-8,食指第一節外上方，距大間穴高二分。；平臥、手心向上、取食指第一節外上方，距大間穴上二分是穴。；本穴位於陰掌食指第一節B線，取穴採用四分點法，即以兩指 節距離之上1/4處取一穴。食指陰面第一節原有三穴，因下面之穴位不用，剩下 上面兩穴，取穴仍按四分點法，大間穴在中間，小間在兩指紋間之上四分之一。,五分針，針一分至二分治心肺病變，二分至二點五分治小腸氣、疝氣、 膝痛。,"支氣管炎,吐黃痰,胸部發悶,心跳,膝蓋痛,小腸氣,疝氣,眼角痛,腸炎,前列腺炎",腸炎、睪丸墜痛、前列腺炎。,禁忌雙手取穴。,,notes/小間穴.md,34
浮間穴,一一,一一部位,手指穴位,圖1-9,食指第二節中央外開二分。；食指第二節正中央線外開二分， 距第三節橫紋三分三處是穴。；本穴位於陰掌食指第二節 圖1-9 浮間穴、外間穴 之B線，取穴採用三分點法，在兩指紋距離之上三分之一為穴。,五分針，針二分至二點五分。,"疝氣,尿道炎,小腸氣,牙痛,胃痛,前列腺炎",前列腺炎。,禁忌雙手同時取穴。,images/圖1-9_浮間穴.jpg,notes/浮間穴.md,34
外間穴,一一,一一部位,手指穴位,圖1-9,食指第二節正中央線外開二分，距第三節橫紋六分六。；當食指第二節正中央線外開二分，距第三節橫紋六分六是穴。；浮間、外間兩穴均在陰掌（掌心）食指第二節之B線，取穴採用 三分點法，下穴為外間，上穴為浮間。,五分針，針二分至二點五分。,"疝氣,尿道炎,小腸氣,牙痛,胃痛,前列腺炎",前列腺炎。,禁忌雙手同時取穴。,,notes/外間穴.md,36
中間穴,一一,一一部位,手指穴位,圖1-10,食指第一節正中央。；當食指第二節正中央是穴。；中間穴位於陰掌食指第一 節正中央，即C線之中點。,五分針，針深一分至二分治心胸頭眼病，針二分半治疝氣及膝痛。 運用：治疝氣成方——外間、大間、小間、中間四穴同時用針為主治疝氣之特 效針。,"心悸,胸部發悶,膝蓋痛,頭暈,眼昏,疝氣,前列腺炎",治療前列腺炎。 按：以上諸穴目前用治前列腺炎甚多， 圖1-10 中間穴 較治疝氣機會為多。,禁忌兩手同時取穴。,images/圖1-10_中間穴.jpg,notes/中間穴.md,36
脾腫穴,一一,一一部位,手指穴位,圖1-12,在掌面中指第二節中央線。；當掌面中指第二節中央線上，距 第三節橫紋三分三一穴，六分六一穴，共 二穴。；脾腫穴位於陰掌中指第二 圖1-12 脾腫穴 節C線，計有二穴，取穴採用三分點法。,針深一分至二分。,"脾腫大,脾炎,脾硬化,呃逆",呃逆。,,images/圖1-12_脾腫穴.jpg,notes/脾腫穴.md,46
心常穴,一一,一一部位,手指穴位,圖1-13,在掌面中指第一節之中線外開二 分處。；當掌面中指第二節之中線向小指 側外開二分，距第二節橫紋三分三一穴，六 分六一穴，共二穴。；心常穴位於陰掌中指第一 圖1-13心常穴 節D線，計有二穴，取穴採用三分點法。,針深一分至二分。,"心跳,心臟病,心臟性風濕病,心律不齊,心跳過速,心臟擴大,心跳過慢",心律不齊、心跳過速、心臟擴大、心跳過慢。,,images/圖1-13_心常穴.jpg,notes/心常穴.md,46
三眼穴,一一,一一部位,手指穴位,圖1-14,在掌面無名指之內側。；當掌面無名指中央線之內開二 分，距第二節橫紋二分處是穴。；三眼穴位於陰掌無名指 B 線，此穴雖僅一穴，但不採二分點取穴，不取 圖1-14 三眼穴 中點，反取無名指第一節B線上1/3處。,針深二分至三分。,"補虛,功同足三里",功同足三里，取穴在1/3處，故以三名之。但穴在手指上肌肉薄，補虛效果略遜於足三里。,,images/圖1-14_三眼穴.jpg,notes/三眼穴.md,46
復原穴,一一,一一部位,手指穴位,圖1-15,在掌面無名指之中線外開二分處。；當掌面無名指之中央線外開二分直線之中點一穴，其上三分一穴，其 下三分一穴，共三穴。；復原穴位於陰掌無名指第 一節D線，計有三穴，採用四分點法取穴。 針深二分至三分。,針深半分。,"消骨頭脹大,指關節腫大,類風濕關節炎",無名指屬三焦經，透過「三焦與腎通」治骨病（腎主骨）；須針入抵骨行「以骨治骨」體應針法，配五虎穴治類風濕指關節腫大初期有效。,,images/圖1-15_復原穴.jpg,notes/復原穴.md,46
木炎穴,一一,一一部位,手指穴位,圖1-16,在掌面無名指第二節中央外開二分處。；在掌面無名指第二節中央線外開 二分，距第三節橫紋三分三一穴，六分六一 穴，共二穴。；木炎穴位於陰掌無名指第 二節D線，計二穴，取穴採用三分點法。針 深二分至三分。,針深半分。,"肝炎,肝腫大,肝硬化,口苦,易怒,煩躁,脅痛,失眠",口苦，易怒、煩躁、脅痛、失眠。,,images/圖1-16_木炎穴.jpg,notes/木炎穴.md,46
